Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,Month_Num
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,November,11
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,2016,November,11
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,2016,December,12
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,2016,December,12
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2016,December,12
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,2014,December,12
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,2014,December,12
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,2016,June,6
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,2017,December,12
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,2017,December,12
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,2017,December,12
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,2015,September,9
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,2016,April,4
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,2017,November,11
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,2017,November,11
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,2016,September,9
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,Consumer,United States,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,2016,December,12
112,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,United States,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788,2016,November,11
113,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,United States,Urbandale,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.3476,2016,November,11
118,CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,Consumer,United States,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813,2015,March,3
119,US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,Corporate,United States,Bristol,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,2015,April,4
127,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,Consumer,United States,Phoenix,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,2017,November,11
128,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,Consumer,United States,Phoenix,Arizona,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,2017,November,11
129,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,Home Office,United States,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,2016,November,11
130,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,Home Office,United States,Los Angeles,California,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,26.2416,2016,November,11
131,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Corporate,United States,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994,2017,February,2
132,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Corporate,United States,Columbus,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364,2017,February,2
133,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Corporate,United States,Columbus,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732,2017,February,2
141,CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35,2016,September,9
146,CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,Consumer,United States,Pasadena,California,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0.0,20.1579,2015,September,9
148,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0.0,103.8015,2016,December,12
149,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0.0,5.9988,2016,December,12
